Area,Production,GDP,Annual Growth Rate (%),Inflation,Rainfall,Price,Temparature
32298,118017,110200,0.004,0.1106,762.6,1345,27.75
91569,361514,119624,0.0857,0.0665,551.8,1425,27.92
23329,82748,119624,0.0857,0.0665,551.8,1425,27.92
114898,444262,119624,0.0857,0.0665,551.8,1425,27.92
62000,124300,31540,0.0389,0.0716,835,968,28.84
74200,222100,31540,0.0389,0.0716,835,968,28.84
72100,206700,31388,-0.0053,0.1323,948.1,939,29.1
73800,248900,31388,-0.0053,0.1323,948.1,939,29.1
70189,190583,33592,0.0694,0.0467,537.2,1009,29.23
54885,129541,33592,0.0694,0.0467,537.2,1009,29.23
50601,156559,33668,0.003,0.0401,871.3,1139,29.59
96893,316840,33668,0.003,0.0401,871.3,1139,29.59
40841,134204,34352,0.0186,0.0378,924.5,864,29.86
106540,385888,34352,0.0186,0.0378,924.5,864,29.86
19256,46927,35796,0.043,0.043,615.2,964,29.9
46223,104325,35796,0.043,0.043,615.2,964,29.9
14621,41992,41572,0.1608,0.0381,725.5,945,30.2
31497,79278,41572,0.1608,0.0381,725.5,945,30.2
27435,95446,47728,0.1482,0.0377,741.7,1309,30.24
66134,220491,47728,0.1482,0.0377,741.7,1309,30.24
54390,144351,54340,0.1387,0.0425,1066.4,1009,30.4
95020,340932,54340,0.1387,0.0425,1066.4,1009,30.4
41191,124809,61332,0.1285,0.058,638.1,1094,30
79875,297215,61332,0.1285,0.058,638.1,1094,30
47000,173000,78128,0.2747,0.0637,980.6,1284,30.12
80000,287000,78128,0.2747,0.0637,980.6,1284,30.12
47434,167774,75924,-0.029,0.0835,798,1494,30.5
83957,314503,75924,-0.029,0.0835,798,1494,30.5
32959,117730,83752,0.1036,0.1088,688.2,1575,29.87
96240,371390,83752,0.1036,0.1088,688.2,1575,29.87
48878,143300,103208,0.232,0.1199,963.5,1030,29.7
107903,376150,103208,0.232,0.1199,963.5,1030,29.7
39122,134932,110808,0.0741,0.0886,738,1110,27.6
79396,292098,110808,0.0741,0.0886,738,1110,27.6
17820,64027,109744,-0.0098,0.0931,715,1250,27.55
33942,125959,109744,-0.0098,0.0931,715,1250,27.55
58034,213391,110200,0.004,0.1106,762.6,1345,27.75
80544,318874,110200,0.004,0.1106,762.6,1345,27.75
31764,121783,119624,0.0857,0.0665,551.8,1425,27.92
73533,284132,119624,0.0857,0.0665,551.8,1425,27.92
105297,405915,119624,0.0857,0.0665,551.8,1425,27.92
48700,127600,31540,0.0389,0.0716,835,968,28.84
182100,544600,31540,0.0389,0.0716,835,968,28.84
44700,133400,31388,-0.0053,0.1323,948.1,939,29.1
183300,542300,31388,-0.0053,0.1323,948.1,939,29.1
45768,136695,33592,0.0694,0.0467,537.2,1009,29.23
152441,407231,33592,0.0694,0.0467,537.2,1009,29.23
55041,171563,33668,0.003,0.0401,871.3,1139,29.59
132867,367510,33668,0.003,0.0401,871.3,1139,29.59
34297,108413,34352,0.0186,0.0378,924.5,864,29.86
176106,597352,34352,0.0186,0.0378,924.5,864,29.86
45511,149276,35796,0.043,0.043,615.2,964,29.9
173384,522579,35796,0.043,0.043,615.2,964,29.9
17885,49756,41572,0.1608,0.0381,725.5,945,30.2
137031,364368,41572,0.1608,0.0381,725.5,945,30.2
19326,56432,47728,0.1482,0.0377,741.7,1309,30.24
167421,576933,47728,0.1482,0.0377,741.7,1309,30.24
18036,55190,54340,0.1387,0.0425,1066.4,1009,30.4
189671,713732,54340,0.1387,0.0425,1066.4,1009,30.4
60057,197167,61332,0.1285,0.058,638.1,1094,30
181863,659617,61332,0.1285,0.058,638.1,1094,30
46000,162000,78128,0.2747,0.0637,980.6,1284,30.12
188000,695000,78128,0.2747,0.0637,980.6,1284,30.12
65233,233795,75924,-0.029,0.0835,798,1494,30.5
191854,763003,75924,-0.029,0.0835,798,1494,30.5
67894,220248,83752,0.1036,0.1088,688.2,1575,29.87
198993,783833,83752,0.1036,0.1088,688.2,1575,29.87
69873,228485,103208,0.232,0.1199,963.5,1030,29.7
200990,777027,103208,0.232,0.1199,963.5,1030,29.7
53137,195269,110808,0.0741,0.0886,738,1110,27.6
201435,836157,110808,0.0741,0.0886,738,1110,27.6
53866,214710,109744,-0.0098,0.0931,715,1250,27.55
197403,811721,109744,-0.0098,0.0931,715,1250,27.55
32241,115455,110200,0.004,0.1106,762.6,1345,27.75
192652,795653,110200,0.004,0.1106,762.6,1345,27.75
62232,232561,119624,0.0857,0.0665,551.8,1425,27.92
178491,736454,119624,0.0857,0.0665,551.8,1425,27.92
240723,969015,119624,0.0857,0.0665,551.8,1425,27.92
185700,278500,31540,0.0389,0.0716,835,968,28.84
600,2100,31540,0.0389,0.0716,835,968,28.84
194400,370700,31388,-0.0053,0.1323,948.1,939,29.1
2000,7500,31388,-0.0053,0.1323,948.1,939,29.1
189027,323525,33592,0.0694,0.0467,537.2,1009,29.23
1703,5867,33592,0.0694,0.0467,537.2,1009,29.23
207461,399155,33668,0.003,0.0401,871.3,1139,29.59
1100,2012,33668,0.003,0.0401,871.3,1139,29.59
178771,393654,34352,0.0186,0.0378,924.5,864,29.86
1584,3594,34352,0.0186,0.0378,924.5,864,29.86
153148,267550,35796,0.043,0.043,615.2,964,29.9
632,1602,35796,0.043,0.043,615.2,964,29.9
188219,421799,41572,0.1608,0.0381,725.5,945,30.2
2204,4496,41572,0.1608,0.0381,725.5,945,30.2
190795,448561,47728,0.1482,0.0377,741.7,1309,30.24
2198,5743,47728,0.1482,0.0377,741.7,1309,30.24
153521,271425,54340,0.1387,0.0425,1066.4,1009,30.4
4237,10105,54340,0.1387,0.0425,1066.4,1009,30.4
193994,491775,61332,0.1285,0.058,638.1,1094,30
3425,7223,61332,0.1285,0.058,638.1,1094,30
201000,613000,78128,0.2747,0.0637,980.6,1284,30.12
2000,6000,78128,0.2747,0.0637,980.6,1284,30.12
203172,408376,75924,-0.029,0.0835,798,1494,30.5
2667,6190,75924,-0.029,0.0835,798,1494,30.5
177058,371822,83752,0.1036,0.1088,688.2,1575,29.87
2708,6407,83752,0.1036,0.1088,688.2,1575,29.87
205853,167482,103208,0.232,0.1199,963.5,1030,29.7
7098,16822,103208,0.232,0.1199,963.5,1030,29.7
208239,399240,110808,0.0741,0.0886,738,1110,27.6
2178,4593,110808,0.0741,0.0886,738,1110,27.6
205859,520823,109744,-0.0098,0.0931,715,1250,27.55
2884,7870,109744,-0.0098,0.0931,715,1250,27.55
199717,347108,110200,0.004,0.1106,762.6,1345,27.75
3425,8158,110200,0.004,0.1106,762.6,1345,27.75
205485,434806,119624,0.0857,0.0665,551.8,1425,27.92
4730,12866,119624,0.0857,0.0665,551.8,1425,27.92
210215,447672,119624,0.0857,0.0665,551.8,1425,27.92
95600,79700,31540,0.0389,0.0716,835,968,28.84
2700,8700,31540,0.0389,0.0716,835,968,28.84
114900,141300,31388,-0.0053,0.1323,948.1,939,29.1
3800,14100,31388,-0.0053,0.1323,948.1,939,29.1
103372,134010,33592,0.0694,0.0467,537.2,1009,29.23
3053,10836,33592,0.0694,0.0467,537.2,1009,29.23
115239,183345,33668,0.003,0.0401,871.3,1139,29.59
2969,6683,33668,0.003,0.0401,871.3,1139,29.59
86579,145020,34352,0.0186,0.0378,924.5,864,29.86
3744,7589,34352,0.0186,0.0378,924.5,864,29.86
61964,61344,35796,0.043,0.043,615.2,964,29.9
2028,3121,35796,0.043,0.043,615.2,964,29.9
84676,136836,41572,0.1608,0.0381,725.5,945,30.2
3961,7811,41572,0.1608,0.0381,725.5,945,30.2
95187,160771,47728,0.1482,0.0377,741.7,1309,30.24
2621,3701,47728,0.1482,0.0377,741.7,1309,30.24
84808,125007,54340,0.1387,0.0425,1066.4,1009,30.4
3821,7073,54340,0.1387,0.0425,1066.4,1009,30.4
93133,178070,61332,0.1285,0.058,638.1,1094,30
2614,5301,61332,0.1285,0.058,638.1,1094,30
96000,195000,78128,0.2747,0.0637,980.6,1284,30.12
3000,6000,78128,0.2747,0.0637,980.6,1284,30.12
99378,167253,75924,-0.029,0.0835,798,1494,30.5
2679,5090,75924,-0.029,0.0835,798,1494,30.5
65447,69112,83752,0.1036,0.1088,688.2,1575,29.87
2974,4509,83752,0.1036,0.1088,688.2,1575,29.87
110289,192378,103208,0.232,0.1199,963.5,1030,29.7
7262,9383,103208,0.232,0.1199,963.5,1030,29.7
109505,166766,110808,0.0741,0.0886,738,1110,27.6
2617,2973,110808,0.0741,0.0886,738,1110,27.6
98718,141562,109744,-0.0098,0.0931,715,1250,27.55
5046,10274,109744,-0.0098,0.0931,715,1250,27.55
98637,171530,110200,0.004,0.1106,762.6,1345,27.75
6759,13126,110200,0.004,0.1106,762.6,1345,27.75
98190,159755,119624,0.0857,0.0665,551.8,1425,27.92
7238,18052,119624,0.0857,0.0665,551.8,1425,27.92
105428,177807,119624,0.0857,0.0665,551.8,1425,27.92
130500,185600,31540,0.0389,0.0716,835,968,28.84
1000,3200,31540,0.0389,0.0716,835,968,28.84
133000,295600,31388,-0.0053,0.1323,948.1,939,29.1
3600,13300,31388,-0.0053,0.1323,948.1,939,29.1
132185,250846,33592,0.0694,0.0467,537.2,1009,29.23
1985,6943,33592,0.0694,0.0467,537.2,1009,29.23
129907,214347,33668,0.003,0.0401,871.3,1139,29.59
